jobid,runid,status,start_time,end_time,duration_seconds
1,948,succeeded,2026-09-12 12:33:36.234258+00,2026-09-12 12:33:36.244357+00,0.01
1,949,succeeded,2026-09-12 12:34:06.246214+00,2026-09-12 12:34:06.248973+00,0.00
1,950,succeeded,2026-09-12 12:34:36.258256+00,2026-09-12 12:34:36.261163+00,0.00
1,951,succeeded,2026-09-12 12:35:06.269733+00,2026-09-12 12:35:06.272096+00,0.00
1,952,succeeded,2026-09-12 12:35:36.279837+00,2026-09-12 12:35:36.282304+00,0.00
1,953,succeeded,2026-09-12 12:36:06.290205+00,2026-09-12 12:36:06.292741+00,0.00
1,954,succeeded,2026-09-12 12:36:36.301047+00,2026-09-12 12:36:36.303562+00,0.00
1,955,succeeded,2026-09-12 12:37:06.327761+00,2026-09-12 12:37:06.331672+00,0.00
1,956,succeeded,2026-09-12 12:37:36.339227+00,2026-09-12 12:37:36.342229+00,0.00
1,957,succeeded,2026-09-12 12:38:06.351387+00,2026-09-12 12:38:06.354493+00,0.00
1,958,succeeded,2026-09-12 12:38:36.36312+00,2026-09-12 12:38:36.365808+00,0.00
1,959,succeeded,2026-09-12 12:39:06.37552+00,2026-09-12 12:39:06.378099+00,0.00
1,960,succeeded,2026-09-12 12:39:36.389434+00,2026-09-12 12:39:36.392047+00,0.00
1,961,succeeded,2026-09-12 12:40:06.401581+00,2026-09-12 12:40:06.404278+00,0.00
1,962,succeeded,2026-09-12 12:40:36.413823+00,2026-09-12 12:40:36.416361+00,0.00
1,963,succeeded,2026-09-12 12:41:06.4289+00,2026-09-12 12:41:06.433682+00,0.00
1,964,succeeded,2026-09-12 12:41:36.440661+00,2026-09-12 12:41:36.443474+00,0.00
1,965,succeeded,2026-09-12 12:42:06.453407+00,2026-09-12 12:42:06.45587+00,0.00
1,966,succeeded,2026-09-12 12:42:36.464113+00,2026-09-12 12:42:36.466851+00,0.00
1,967,succeeded,2026-09-12 12:43:06.475594+00,2026-09-12 12:43:06.478369+00,0.00
1,968,succeeded,2026-09-12 12:43:36.488071+00,2026-09-12 12:43:36.490489+00,0.00
1,969,succeeded,2026-09-12 12:44:06.499783+00,2026-09-12 12:44:06.50226+00,0.00
1,970,succeeded,2026-09-12 12:44:36.52462+00,2026-09-12 12:44:36.538646+00,0.01
